date,value
2016-08-01,94.640012476358
2016-09-01,95.164828433161
2016-10-01,94.605146529434
2016-11-01,94.86271528359
2016-12-01,95.000781922451
2017-01-01,94.605092447597
2017-02-01,93.924534980353
2017-03-01,93.709215634436
2017-04-01,94.795099582027
2017-05-01,95.349294110986
2017-06-01,95.815751800369
2017-07-01,96.50053236748
2017-08-01,97.03630724964
2017-09-01,97.736848774351
2017-10-01,97.627852906901
2017-11-01,98.249880868924
2017-12-01,98.162610254466
2018-01-01,98.643243428411
2018-02-01,98.566152279372
2018-03-01,99.396987132104
2018-04-01,99.938269066727
2018-05-01,100.54159703698
2018-06-01,100.20011220516
2018-07-01,99.972141769368
2018-08-01,99.441031958384
2018-09-01,99.803886016212
2018-10-01,101.07563661421
2018-11-01,101.98441252736
2018-12-01,100.43652996569
2019-01-01,100.78760515755
2019-02-01,99.645731850097
2019-03-01,100.75889651962
2019-04-01,101.94717445607
2019-05-01,102.22215016025
2019-06-01,101.30064088759
2019-07-01,101.52627119763
2019-08-01,102.76838107111
2019-09-01,101.7333625684
2019-10-01,97.331503891974
2019-11-01,96.94698658384
2019-12-01,99.550296542695
2020-01-01,101.81864306501
2020-02-01,101.65770376214
2020-03-01,95.925038752546
2020-04-01,88.460213834941
2020-05-01,86.773105782916
2020-06-01,86.403423459457
2020-07-01,88.602277672213
2020-08-01,91.500080457715
2020-09-01,94.795501605719
2020-10-01,96.447357501589
2020-11-01,97.494528610341
2020-12-01,99.835264760152
2021-01-01,100.40491024352
2021-02-01,102.54688968865
2021-03-01,101.297718198
2021-04-01,100.01211812072
2021-05-01,103.1801744949
2021-06-01,104.49097390017
2021-07-01,105.81003972519
2021-08-01,106.79798544776
2021-09-01,107.91608449679
2021-10-01,108.92142088026
2021-11-01,109.81678412313
2021-12-01,109.0007604456
2022-01-01,107.12793884308
2022-02-01,107.31363565255
2022-03-01,108.5333362643
2022-04-01,106.7005015919
2022-05-01,107.88856170439
2022-06-01,107.49887778546
2022-07-01,105.18099759388
2022-08-01,107.97638412758
2022-09-01,107.79693039983
2022-10-01,107.34272326515
2022-11-01,106.39960641401
2022-12-01,106.81755320204
2023-01-01,107.79005856645
2023-02-01,107.47337237812
2023-03-01,107.63176136701
2023-04-01,107.2136710624
2023-05-01,106.94496800833
2023-06-01,107.18868345523
2023-07-01,107.42894912064
2023-08-01,107.32503650439
2023-09-01,108.46095018652
2023-10-01,108.2061223254
2023-11-01,107.80739963226
2023-12-01,106.93245393323
2024-01-01,109.45949099721
2024-02-01,110.54898631014
2024-03-01,109.74976142767
2024-04-01,110.28885129029
2024-05-01,108.90135249482
2024-06-01,109.27891610118
2024-07-01,110.59411935156
2024-08-01,110.56579273698
2024-09-01,109.81835103991
2024-10-01,110.23763567379
2024-11-01,110.59326329606
2024-12-01,111.57027542152
